Name,Type,Mileage,Year,Condition,Price
Audi A3,40 TFSI e S Line 5dr S Tronic,15.142,2021,Hybrid,25.05
Audi Q8 e-tron,250kW 50 Quattro 95kWh S Line 5dr Auto,8.274,2023,Electric,61.75
Audi Q5,45 TFSI Quattro S Line 5dr S Tronic,2.95,2023,Petrol,43.99
Audi A5 Sportback,35 TFSI S Line 5dr S Tronic,10.705,2023,Petrol,30.99
Audi S3,S3 TFSI 300 Quattro 5dr S Tronic,26.149,2019,Petrol,25.99
Audi Q5,50 TFSI e Quattro S Line 5dr S Tronic,8.95,2023,Hybrid,44.79
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,3.95,2023,Diesel,41.99
Audi Q3,35 TFSI Black Edition 5dr,14.983,2021,Petrol,nan
Audi A3,30 TFSI 116 Black Edition 5dr,19.88,2020,Petrol,20.649
Audi A3 Saloon,35 TFSI Edition 1 4dr S Tronic,5.699,2023,Petrol,30.99
Audi A4,35 TFSI S Line 4dr S Tronic,29.925,2020,Petrol,22.449
Audi A3 Saloon,30 TFSI S Line 4dr,38.645,2020,Petrol,18.412
Audi Q3,35 TFSI S Line 5dr S Tronic,32.705,2021,Petrol,nan
Audi Q3,35 TFSI S Line 5dr S Tronic,30.21,2020,Petrol,28.99
Audi Q3,40 TDI 200 Quattro S Line 5dr S Tronic,21.046,2022,Diesel,29.99
Audi Q7,3.0 TDI Quattro e-tron 5dr Tip Auto,49.4,2017,Hybrid,nan
Audi Q5 Sportback,50 TFSI e Quattro S Line 5dr S Tronic,9.49,2023,Hybrid,44.99
Audi TT,45 TFSI Sport 2dr S Tronic,14.551,2019,Petrol,22.208
Audi A1,25 TFSI Technik 5dr S Tronic,18.667,2020,Petrol,16.774
Audi e-tron Sportback,300kW 55 Quattro 95kWh S Line 5dr Auto,35.7,2020,Electric,30.6
Audi A5 Cabriolet,40 TFSI 204 S Line 2dr S Tronic,17.429,2020,Petrol,28.65
Audi Q4,150kW 40 82kWh S Line 5dr Auto,5.591,2023,Electric,37.4
Audi e-tron S,230kW 50 Quattro 71kWh S Line 5dr Auto [22kWCh],8.11,2022,Electric,33.3
Audi A4,35 TDI Technik 4dr S Tronic,53.507,2021,Diesel,19.4
Audi SQ8,SQ8 TDI Quattro 5dr Tiptronic,26.083,2020,Diesel,61.4
Audi e-tron,230kW 50 Quattro 71kWh Technik 5dr Auto,24.126,2020,Electric,24.9
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,48.441,2020,Diesel,27.0
Audi e-tron,230kW 50 Quattro 71kWh Technik 5dr Auto,22.318,2021,Electric,25.4
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,29.473,2020,Diesel,26.25
Audi A1,25 TFSI Technik 5dr,18.159,2020,Petrol,18.5
Audi A5,35 TFSI Sport 2dr S Tronic,25.607,2021,Petrol,24.05
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,58.915,2021,Diesel,24.65
Audi Q8,55 TFSI Quattro Black Edition 5dr Tiptronic,11.683,2023,Petrol,57.35
Audi e-tron,230kW 50 Quattro 71kWh Technik 5dr Auto,50.041,2020,Electric,22.45
Audi Q8,50 TDI Quattro S Line 5dr Tiptron [Comfort+Sound],42.018,2021,Diesel,44.7
Audi A4,35 TDI Black Edition 4dr S Tronic,27.051,2021,Diesel,26.9
Audi Q2,35 TFSI Black Edition 5dr S Tronic,11.791,2021,Petrol,28.05
Audi Q7,55 TFSI Quattro Black Edition 5dr Tiptronic,28.511,2021,Petrol,46.55
Audi Q5,40 TDI Quattro Sport 5dr S Tronic,42.65,2021,Diesel,29.7
Audi A6,40 TDI S Line 4dr S Tronic,19.56,2020,Diesel,27.7
Audi A5,35 TDI S Line 2dr S Tronic,25.824,2021,Diesel,24.1
Audi A3,35 TFSI S Line 5dr,33.022,2021,Petrol,21.5
Audi A4,35 TDI S Line 4dr S Tronic,66.885,2019,Diesel,18.25
Audi Q7,45 TDI Quattro S Line 5dr Tiptronic,33.525,2021,Diesel,47.25
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,19.828,2021,Diesel,32.7
Audi A6,45 TFSI Quattro S Line 4dr S Tronic,41.979,2020,Petrol,25.1
Audi e-tron,230kW 50 Quattro 71kWh Technik 5dr Auto,26.619,2020,Electric,24.9
Audi e-tron Sportback,300kW 55 Quattro 95kWh Launch Edition 5dr Auto,53.038,2020,Electric,32.15
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,28.554,2021,Diesel,32.8
Audi A3,30 TDI Technik 5dr,33.085,2021,Diesel,19.75
Audi A3,40 TFSI e S Line 5dr S Tronic,37.75,2021,Hybrid,22.35
Audi Q3,35 TDI S Line 5dr S Tronic,28.731,2021,Diesel,30.95
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,22.693,2020,Diesel,27.25
Audi A6,45 TFSI Quattro S Line 4dr S Tronic,41.979,2020,Petrol,25.1
Audi Q4,125kW 35 55.52kWh Edition 1 5dr Auto,4.808,2023,Electric,39.4
Audi A4 Avant,35 TDI Technik 5dr S Tronic,28.113,2021,Diesel,21.55
Audi Q3,35 TDI Sport 5dr S Tronic,40.335,2021,Diesel,24.0
Audi A4,35 TDI S Line 4dr S Tronic,24.734,2021,Diesel,24.15
Audi Q7,50 TDI Quattro S Line 5dr Tiptronic,55.966,2020,Diesel,36.9
Audi Q3,35 TFSI S Line 5dr S Tronic,30.597,2020,Petrol,27.65
Audi A7,40 TDI S Line 5dr S Tronic,37.451,2020,Diesel,28.25
Audi Q2,30 TDI Technik 5dr,52.907,2020,Diesel,14.4
Audi RS6,RS 6 TFSI Quattro Vorsprung 5dr Tiptronic,29.576,2020,Petrol,72.25
Audi Q5,45 TFSI Quattro S Line 5dr S Tronic,8.739,2022,Petrol,39.8
Audi S3,S3 TFSI 300 Quattro Black Edition 5dr S Tronic,23.885,2020,Petrol,28.55
Audi A5 Cabriolet,40 TFSI 204 S Line 2dr S Tronic,29.418,2021,Petrol,27.7
Audi Q5,45 TFSI Quattro S Line 5dr S Tronic,27.653,2020,Petrol,29.1
Audi A3,30 TFSI 116 SE Technik 5dr,23.866,2019,Petrol,15.95
Audi A6,40 TDI S Line 4dr S Tronic,21.448,2020,Diesel,26.9
Audi Q7,50 TDI Quattro Sport 5dr Tiptronic,30.626,2021,Diesel,40.95
Audi A6,50 TFSI e Quattro S Line 4dr S Tronic,42.609,2020,Hybrid,28.05
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,21.845,2021,Diesel,33.05
Audi Q7,55 TFSI Quattro Sport 5dr Tiptronic,53.985,2021,Petrol,35.45
Audi A1,25 TFSI Sport 5dr,11.878,2021,Petrol,18.45
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,34.048,2021,Diesel,25.45
Audi e-tron,230kW 50 Quattro 71kWh Technik 5dr Auto,68.578,2020,Electric,20.4
Audi A7,40 TDI S Line 5dr S Tronic,15.666,2021,Diesel,35.1
Audi A4 Avant,35 TDI S Line 5dr S Tronic,34.611,2020,Diesel,24.9
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,21.598,2021,Diesel,34.25
Audi A5 Sportback,35 TDI S Line 5dr S Tronic,43.403,2021,Diesel,24.2
Audi A3 Saloon,30 TFSI S Line 4dr,27.363,2020,Petrol,18.85
Audi Q5,50 TFSI e Quattro Black Edition 5dr S Tronic,26.382,2020,Hybrid,32.6
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,31.247,2021,Diesel,31.85
Audi Q2,30 TFSI Technik 5dr,14.573,2021,Petrol,18.0
Audi A3,30 TFSI Sport 5dr,12.704,2020,Petrol,19.9
Audi A3,40 TFSI e S Line 5dr S Tronic,29.968,2021,Hybrid,21.732
Audi Q5,50 TFSI e Quattro Black Edition 5dr S Tronic,38.981,2020,Hybrid,29.461
Audi Q3,40 TDI Quattro Vorsprung 5dr S Tronic,39.2,2019,Diesel,28.693
Audi TT,45 TFSI Quattro Sport 2dr S Tronic,18.591,2020,Petrol,23.49
Audi A3,30 TFSI Sport 5dr S Tronic,18.17,2021,Petrol,20.226
Audi Q3,35 TFSI S Line 5dr S Tronic,44.65,2019,Petrol,22.202
Audi Q5,50 TFSI e Quattro Sport 5dr S Tronic,4.453,2023,Hybrid,45.99
Audi e-tron,230kW 50 Quattro 71kWh Sport 5dr Auto,17.706,2021,Electric,27.99
Audi e-tron,230kW 50 Quattro 71kWh Technik 5dr Auto,34.996,2020,Electric,23.99
Audi S3,S3 TFSI Quattro 5dr S Tronic,48.19,2016,Petrol,19.329
Audi Q4,125kW 35 55.52kWh Sport 5dr Auto,999.0,2023,Electric,34.99
Audi A6 Avant,45 TFSI Quattro S Line 5dr S Tronic,14.212,2020,Petrol,31.999
Audi Q4,150kW 40 82kWh S Line 5dr Auto,999.0,2023,Electric,43.99
Audi e-tron,230kW 50 Quattro 71kWh Technik 5dr Auto,26.132,2020,Electric,24.49
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,30.1,2020,Diesel,26.106
Audi e-tron,230kW 50 Quattro 71kWh Black Edition 5dr Auto,29.92,2021,Electric,31.389
Audi A5 Sportback,45 TFSI Quattro Vorsprung 5dr S Tronic,34.4,2019,Petrol,nan
Audi Q4,150kW 40 82kWh S Line 5dr Auto,999.0,2023,Electric,42.99
Audi Q3,45 TFSI e Technik 5dr S Tronic,9.2,2022,Hybrid,32.564
Audi e-tron Sportback,230kW 50 Quattro 71kWh S Line 5dr Auto,16.353,2021,Electric,32.49
Audi A5,35 TFSI S Line 2dr S Tronic,4.9,2023,Petrol,30.207
Audi Q8,50 TDI Quattro Black Edition 5dr Tiptronic,2.95,2023,Diesel,63.99
Audi Q3,45 TFSI Quattro Edition 1 5dr S Tronic,14.2,2020,Petrol,36.999
Audi Q2,1.4 TFSI S Line 5dr,67.6,2017,Petrol,nan
Audi A3,35 TFSI Edition 1 5dr S Tronic,21.338,2021,Petrol,25.49
Audi Q3,35 TFSI Sport 5dr S Tronic,70.5,2019,Petrol,18.499
Audi S5,S5 TDI 341 Quattro 2dr Tiptronic,17.15,2022,Diesel,nan
Audi Q7,50 TDI Quattro Black Edition 5dr Tiptronic,32.753,2020,Diesel,44.99
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,999.0,2023,Diesel,45.99
Audi R8 Spyder,5.2 FSI V10 Quattro Performance 2dr S Tronic,11.157,2021,Petrol,119.99
Audi A6 Avant,40 TFSI Sport 5dr S Tronic,999.0,2023,Petrol,39.99
Audi Q7,50 TDI Quattro Black Edition 5dr Tiptronic,13.576,2022,Diesel,54.99
Audi Q5,40 TDI Quattro Black Edition 5dr S Tronic,18.3,2020,Diesel,32.307
Audi Q3,35 TFSI Vorsprung 5dr S Tronic,36.238,2021,Petrol,32.499
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,13.5,2020,Diesel,nan
Audi A5 Sportback,2.0 TFSI S Line 5dr S Tronic,57.015,2018,Petrol,17.79
Audi A5 Sportback,35 TFSI S Line 5dr S Tronic,1.95,2023,Petrol,37.49
Audi Q3,45 TFSI e S Line 5dr S Tronic,1.95,2023,Hybrid,41.99
Audi RS3,RS 3 TFSI Quattro Carbon Black 4dr S Tronic,450.0,2023,Petrol,56.99
Audi Q3,45 TFSI e S Line 5dr S Tronic,999.0,2023,Hybrid,42.99
Audi Q5,50 TFSI e Quattro S Line 5dr S Tronic,1.95,2023,Hybrid,49.49
Audi A4,35 TFSI Technik 4dr S Tronic,38.509,2019,Petrol,17.49
Audi S3,S3 TFSI Quattro 5dr S Tronic,8.964,2020,Petrol,31.49
Audi Q2,35 TFSI Sport 5dr S Tronic,18.4,2021,Petrol,22.207
Audi Q8,55 TFSI Quattro Black Edition 5dr Tiptronic,1.752,2023,Petrol,62.49
Audi A3,35 TFSI Edition 1 5dr,50.713,2021,Petrol,21.39
Audi Q2,1.4 TFSI Sport 5dr S Tronic,43.447,2017,Petrol,16.49
Audi S4,S4 TDI Quattro Black Edition 5dr Tiptronic,40.5,2020,Diesel,nan
Audi A5 Sportback,40 TDI 204 Quattro S Line 5dr S Tronic,6.7,2022,Diesel,29.308
Audi A6,50 TDI Quattro S Line 5dr Tip Auto,55.006,2018,Diesel,31.49
Audi Q3,40 TDI 200 Quattro Sport 5dr S Tronic,20.412,2021,Diesel,27.499
Audi Q3,35 TFSI Sport 5dr,6.044,2022,Petrol,26.499
Audi A7,40 TDI Quattro Black Edition 5dr S Tronic,1.95,2023,Diesel,42.49
Audi A5,35 TFSI S Line 2dr S Tronic,4.015,2023,Petrol,31.999
Audi Q5,45 TFSI Quattro S Line 5dr S Tronic,37.5,2020,Petrol,27.295
Audi A7,40 TDI Quattro Black Edition 5dr S Tronic,5.672,2023,Diesel,44.49
Audi Q2,30 TFSI Sport 5dr,23.107,2020,Petrol,16.399
Audi Q5,50 TFSI e Quattro Sport 5dr S Tronic,30.68,2021,Hybrid,32.999
Audi A6 Avant,40 TDI S Line 5dr S Tronic,29.975,2019,Diesel,24.407
Audi Q2,30 TFSI Sport 5dr,22.699,2021,Petrol,18.952
Audi Q5,40 TDI Quattro Sport 5dr S Tronic,26.604,2021,Diesel,31.336
Audi Q2,30 TDI S Line 5dr S Tronic,26.188,2019,Diesel,17.999
Audi RS3,2.5 TFSI RS 3 Quattro 5dr S Tronic,26.334,2018,Petrol,36.99
Audi A5 Sportback,2.0 TDI 190 Black Ed Plus 5dr Multitronic [5st],46.568,2016,Diesel,16.499
Audi Q3,45 TFSI e Black Edition 5dr S Tronic,11.091,2022,Hybrid,34.471
Audi e-tron,300kW 55 Quattro 95kWh Vorsprung 5dr Auto,36.5,2020,Electric,nan
Audi Q5,40 TDI Quattro S Line 5dr S Tronic,2.069,2023,Diesel,42.999
Audi A1,30 TFSI 110 S Line 5dr,4.065,2023,Petrol,23.299
Audi Q2,30 TFSI Black Edition 5dr,9.485,2022,Petrol,24.999
Audi Q5,50 TFSI e Quattro Edition 1 5dr S Tronic,12.622,2022,Hybrid,42.999
Audi Q5,2.0 TDI Quattro S Line 5dr S Tronic,21.558,2018,Diesel,25.999
Audi Q4,125kW 35 55.52kWh S Line 5dr Auto,6.826,2021,Electric,29.751
Audi A3,1.4 TFSI Sport 2dr,34.801,2016,Petrol,nan
Audi S3,S3 TFSI Quattro Vorsprung 5dr S Tronic,2.161,2023,Petrol,46.5
Audi A3,35 TFSI Edition 1 5dr S Tronic,13.795,2022,Petrol,28.75
Audi A3 Saloon,30 TFSI Sport 4dr,36.013,2020,Petrol,16.844
Audi A3,35 TDI Black Edition 5dr S Tronic,2.578,2023,Diesel,35.0
Audi S3,S3 TFSI Quattro Vorsprung 4dr S Tronic,4.639,2023,Petrol,45.0
Audi A3 Saloon,35 TFSI S Line 4dr S Tronic,60.0,2024,Petrol,32.5
Audi A3 Saloon,35 TFSI Black Edition 4dr S Tronic,25.461,2019,Petrol,21.0
Audi A3 Saloon,35 TFSI Sport 4dr,3.546,2023,Petrol,25.0
Audi A3,1.4 TFSI Sport 2dr,52.397,2016,Petrol,14.058
Audi A3,35 TFSI S Line 5dr S Tronic [Tech Pack Pro],10.0,2024,Petrol,32.5
Audi S3,S3 TFSI Quattro 5dr S Tronic,2.145,2022,Petrol,36.0
Audi A1,25 TFSI Black Edition 5dr,10.99,2023,Petrol,22.5
Audi A3 Saloon,35 TDI Edition 1 4dr S Tronic,5.055,2023,Diesel,33.5
Audi S3,S3 TFSI Quattro Vorsprung 4dr S Tronic,1.351,2023,Petrol,49.5
Audi A6,45 TFSI 265 Quattro Black Edition 4dr S Tronic,30.585,2020,Petrol,28.499
Audi S3,S3 TFSI Quattro Black Edition 4dr S Tronic,50.648,2018,Petrol,24.314
Audi A3,35 TFSI S Line 5dr S Tronic,17.804,2020,Petrol,28.0
Audi e-tron,300kW 55 Quattro 95kWh Black Edition 5dr Auto,17.005,2022,Electric,nan
Audi S3,S3 TFSI Quattro Vorsprung 5dr S Tronic,1.4,2023,Petrol,46.5
Audi A3 Saloon,35 TDI Edition 1 4dr S Tronic,5.909,2023,Diesel,28.77
Audi e-tron,230kW 50 Quattro 71kWh Black Edition 5dr Auto,16.012,2022,Electric,35.499
Audi A3 Saloon,35 TDI Black Edition 4dr S Tronic,10.0,2023,Diesel,35.0
Audi Q3,35 TFSI S Line 5dr S Tronic,24.718,2020,Petrol,28.5
Audi RS Q8,RS Q8 TFSI Quattro Carbon Black 5dr Tiptronic,26.501,2021,Petrol,79.999
Audi S3,S3 TFSI Quattro Black Edition 5dr S Tronic,66.684,2017,Petrol,20.795
Audi A3,1.5 TFSI Black Edition 5dr S Tronic,99.273,2018,Petrol,12.558
Audi A4,35 TFSI S Line 4dr S Tronic,18.474,2021,Petrol,23.884
Audi A3,40 TFSI e S Line 5dr S Tronic,33.77,2021,Hybrid,22.0
Audi A3,30 TFSI S Line 5dr,9.561,2022,Petrol,22.948
Audi Q3,45 TFSI e Black Edition 5dr S Tronic,6.877,2021,Hybrid,37.25
Audi Q5,55 TFSI e Quat Vorsprung Competition 5dr S Tronic,32.785,2020,Hybrid,39.394
Audi A5 Sportback,35 TDI Sport 5dr S Tronic,39.779,2021,Diesel,23.263
Audi Q3,35 TFSI S Line 5dr S Tronic,28.477,2020,Petrol,26.432
Audi A8,50 TDI Quattro S Line 4dr Tiptronic,41.195,2020,Diesel,31.401
Audi Q3,35 TDI Sport 5dr S Tronic,21.185,2019,Diesel,23.45
Audi A3,35 TFSI Edition 1 5dr S Tronic,3.152,2023,Petrol,32.5
Audi Q3,35 TFSI S Line 5dr,24.421,2019,Petrol,21.682
Audi A3,35 TDI S Line 5dr S Tronic,10.0,2024,Diesel,34.0
Audi S3,S3 TFSI Quattro 5dr S Tronic,2.128,2022,Petrol,34.45
Audi Q3,1.4T FSI Black Edition 5dr S Tronic,48.837,2018,Petrol,19.495
Audi A3,S3 TFSI 300 Quattro Black Edition 5dr S Tronic,35.956,2019,Petrol,25.45
Audi A3 Saloon,2.0 TFSI Sport 4dr S Tronic,33.276,2017,Petrol,15.0
Audi A3,2.0 TDI Black Edition 5dr,42.487,2018,Diesel,16.543
Audi Q3,35 TDI Sport 5dr S Tronic,32.353,2021,Diesel,23.995
Audi A3 Saloon,30 TFSI S Line 4dr S Tronic,11.618,2022,Petrol,23.848
Audi A3 Saloon,35 TFSI Edition 1 4dr S Tronic,11.498,2022,Petrol,27.9
Audi Q3,35 TFSI S Line 5dr,30.839,2020,Petrol,22.85
Audi Q3,45 TFSI e Black Edition 5dr S Tronic,2.679,2023,Hybrid,41.0
Audi Q3,35 TFSI Black Edition 5dr S Tronic,13.502,2022,Petrol,34.5
Audi Q3,45 TFSI e S Line 5dr S Tronic,15.398,2021,Hybrid,34.5
Audi Q3,35 TFSI Black Edition 5dr S Tronic,6.769,2023,Petrol,37.45
Audi S3,S3 TFSI Quattro 5dr S Tronic,17.59,2020,Petrol,29.995
Audi Q4 e-tron Sportback,150kW 40 82.77kWh Edition 1 5dr Auto,13.2,2022,Electric,36.402
Audi Q3,1.4T FSI S Line Edition 5dr S Tronic,53.14,2018,Petrol,16.4
Audi Q3,1.4T Fsi S Line Edition 5Dr S Tronic,59.037,2017,Petrol,16.47
Audi S3,S3 TFSI 300 Quattro Black Edition 5dr S Tronic,21.67,2019,Petrol,29.0
Audi A5 Cabriolet,35 TFSI S Line 2dr S Tronic,14.526,2021,Petrol,28.481
Audi A3,35 TDI Black Edition 5dr S Tronic,5.938,2023,Diesel,32.5
Audi A3,35 TFSI Black Edition 5dr S Tronic,13.118,2020,Petrol,22.57
Audi S3,S3 TFSI Quattro 4dr S Tronic,11.099,2023,Petrol,34.795
Audi A3 Saloon,35 TDI Edition 1 4dr S Tronic,10.777,2023,Diesel,29.49
Audi A3,35 TDI Edition 1 5dr S Tronic,8.01,2023,Diesel,28.9
Audi A3,30 TFSI S Line 5dr,18.632,2020,Petrol,20.295
Audi A3 Saloon,35 TFSI S Line 4dr S Tronic,24.866,2020,Petrol,24.995
Audi Q3,1.4T FSI Sport 5dr S Tronic,17.529,2017,Petrol,18.0
Audi A3,40 TFSI e S Line 5dr S Tronic,10.301,2021,Hybrid,24.45
Audi e-tron GT,390kW Quattro 93kWh 4dr Auto,3.489,2023,Electric,67.899
Audi A3,30 TFSI S Line 5dr S Tronic,10.976,2022,Petrol,25.45
Audi A3 Saloon,35 TFSI Edition 1 4dr S Tronic,10.907,2022,Petrol,29.99
Audi A3,35 TFSI S Line 5dr S Tronic,12.141,2022,Petrol,26.5
Audi A3 Saloon,30 TFSI S Line 4dr S Tronic,7.812,2023,Petrol,25.995
Audi A3,45 TFSI e S Line Competition 5dr S Tronic,1.124,2023,Hybrid,35.99
Audi A3,35 TDI Edition 1 5dr S Tronic,14.024,2022,Diesel,29.75
Audi S3,S3 TFSI Quattro 4dr S Tronic,22.529,2022,Petrol,33.79
Audi A3 Saloon,35 TFSI Edition 1 4dr S Tronic,4.54,2021,Petrol,28.0
Audi A3,40 TFSI e S Line 5dr S Tronic,10.068,2021,Hybrid,24.45
Audi A3,30 TFSI Sport 5dr,7.048,2023,Petrol,21.995
Audi A3,2.0 TFSI S Line 5dr,29.335,2018,Petrol,17.195
